construct,field,vtype,role,item,level,head_value,rest_value,contrast_value,head_n_nonmissing,rest_n_nonmissing,insufficient_head_coverage,head_support_median,rest_support_median,head_abs_contribution_share_phase_a,head_support_share_phase_a,note
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,5,0,2,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,6,<3,10,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,0,3,24,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,1,suppressed,39,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,2,4,47,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,3,4,52,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,4,suppressed,64,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,5,6,66,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,cum_count,6,suppressed,76,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,contrast_diff_medians,,,,1.5,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [0.0, 3.0]; exchangeability reference [-2.0, 3.0] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
mrs_3month,MRS 3 months,ordinal,primary outcome,contrast_rank_biserial,,,,0.07072368421052631,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-0.043233082706766915, 0.17857142857142858]; exchangeability reference [-0.4074074074074074, 0.40135135135135136] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),n_nonmissing,,4,54,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,insufficient_head_coverage
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),n_missing,,6,35,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),mean,,7.0,5.611111111111111,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),sd,,6.0553007081949835,5.478660718683011,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),median,,6.0,3.5,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),q1,,3.25,1.0,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),q3,,9.75,8.0,,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),contrast_smd_pooled,,,,0.2520174644073414,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-0.23576709614557012, 0.6181930855943613]; exchangeability reference [-0.8063804062619278, 0.9762010200325038] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
nihss_24h,NIHSS 24h,continuous,lineage-preserving severity (idea-046 frozen optional rung),contrast_diff_medians,,,,2.5,4,54,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [0.5, 4.5]; exchangeability reference [-4.0, 8.5] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,n_nonmissing,,10,86,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,n_missing,,0,3,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,mean,,11.5,10.965116279069768,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,sd,,7.891627067834476,6.138495072167607,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,median,,10.5,10.0,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,q1,,5.0,6.0,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,q3,,18.25,16.0,,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,contrast_smd_pooled,,,,0.08453438263941399,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-0.11913162656214478, 0.2534154783142154]; exchangeability reference [-0.6513499670292303, 0.6674974791115327] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
nihss_admission,NIHSS at admission,continuous,baseline-severity context; never interchangeable with 24h,contrast_diff_medians,,,,0.5,10,86,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-2.0, 3.0]; exchangeability reference [-5.5, 7.5] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
age,Age,continuous,demographic,n_nonmissing,,6,64,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,insufficient_head_coverage
age,Age,continuous,demographic,n_missing,,4,25,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
age,Age,continuous,demographic,mean,,69.66666666666667,75.078125,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
age,Age,continuous,demographic,sd,,15.409953493332374,13.744037307426684,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
age,Age,continuous,demographic,median,,69.0,79.0,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
age,Age,continuous,demographic,q1,,58.25,66.0,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
age,Age,continuous,demographic,q3,,83.5,85.0,,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
age,Age,continuous,demographic,contrast_smd_pooled,,,,-0.3900614964643507,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-0.6286444819318063, -0.12203282592284205]; exchangeability reference [-0.8988348325130312, 0.7381170965064373] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
age,Age,continuous,demographic,contrast_diff_medians,,,,-10.0,6,64,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-20.0, 0.0]; exchangeability reference [-16.5, 7.0] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
sex,Sex,binary,demographic,n_nonmissing,,10,87,,10,87,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
sex,Sex,binary,demographic,n_missing,,0,2,,10,87,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
sex,Sex,binary,demographic,level_count,F,5,42,,10,87,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
sex,Sex,binary,demographic,level_count,M,5,45,,10,87,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
sex,Sex,binary,demographic,proportion_F,,0.5,0.4827586206896552,,10,87,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,proportion of the frozen reference level F
sex,Sex,binary,demographic,contrast_diff_prop_F,,,,0.017241379310344807,10,87,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"LOO range [-0.038314176245210774, 0.07279693486590039]; exchangeability reference [-0.31724137931034485, 0.3517241379310345] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
mtici_postinterventional,mTici postinterventional,ordinal,contextual (cap slot 1 of 2),n_nonmissing,,0,0,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,insufficient_head_coverage
mtici_postinterventional,mTici postinterventional,ordinal,contextual (cap slot 1 of 2),n_missing,,10,89,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
mtici_postinterventional,mTici postinterventional,ordinal,contextual (cap slot 1 of 2),fully_missing,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"bound field resolved in no staged member; reported per contract, no statistic computable"
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),n_nonmissing,,0,0,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,insufficient_head_coverage
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),n_missing,,10,89,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),mean,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),sd,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),median,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),q1,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),q3,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),contrast_smd_pooled,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"contrast undefined at the achieved coverage; LOO range [, ]; exchangeability reference [, ] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
onset_to_door,Onset to door,continuous,contextual (cap slot 2 of 2),contrast_diff_medians,,,,,0,0,True,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"contrast undefined at the achieved coverage; LOO range [, ]; exchangeability reference [, ] (exploratory; hypothetical exchangeability reference; not a confidence interval; not sampling inference)"
