idea_id,citation_id,title,year,identifier,source_type,claim_supported,verification_status,notes
idea-021,L10,"The ISLES'24 Dataset paper (Radiology: AI) + preprint",2026,"DOI:10.1148/ryai.250603; PMID:42017802; arXiv:2408.11142",primary_paper,"icobrain cva-derived perfusion maps; Elastix/NiftyReg registration to NCCT space; raw and preprocessed formats released",PARTIALLY_VERIFIED_2026-08-18,"Journal full text 403; facts verified from preprint/challenge report; preprint says 245 total cases vs 250 implied by split - unreconciled, not load-bearing"
idea-021,L11,"How We Won the ISLES'24 Challenge by Preprocessing (Ren et al., Kurt Lab)",2025,"arXiv:2505.18424",primary_paper,"Winner recipe: ResEnc L nnU-Net patch [56,320,256]; SynthStrip skull stripping + custom windowing; CV Dice 21.8% standard vs 31.8% final; no code link in paper",VERIFIED_HTML_2026-08-18,"External brief's 'Riepe et al.' attribution is wrong; numeric windowing thresholds shown only in a figure (unverified as numbers)"
idea-021,L12,"KurtLab ISLES2024 winning-team inference repo with released weights",2025,"github.com/KurtLabUW/ISLES2024",official_repo,"Docker submission code (preprocessing.py, inference.py, nnUNet/) plus Google Drive link to trained weights",VERIFIED_REPO_EXISTS_2026-08-18,"CORRECTS 2026-08-17 critique ('no checkpoint released'); entry-identity inferred from author overlap; weight availability/hash/license unverified - Stage 0 inspection"
idea-021,L13,"nnU-Net v2 normalization implementation",2024,"github.com/MIC-DKFZ/nnUNet: nnunetv2/preprocessing/normalization/default_normalization_schemes.py; documentation/explanation_normalization.md",official_repo,"ZScoreNormalization is per-image; CTNormalization uses dataset-level fingerprint constants; per-channel scheme selection via channel_names; NoNormalization ('noNorm') exists enabling external pinned normalization; use_mask_for_norm caveat",VERIFIED_CODE_2026-08-18,"Load-bearing for the normalization pin: the repair is implementable by construction"
idea-021,L14,"nnU-Net ResEnc presets and training cost; inference defaults",2024,"github.com/MIC-DKFZ/nnUNet: documentation/resenc_presets.md; nnunetv2/inference/predict_from_raw_data.py; run_training.py",official_repo,"ResEnc M ~12h / L ~35h / XL ~66h on A100; 1000 epochs; --c resume; TTA mirroring on by default with --disable_tta; sliding-window inference algorithmically deterministic",VERIFIED_CODE_2026-08-18,"Bitwise GPU determinism not documented - use anchor-repeat gate as in probe 004"
idea-021,L15,"Exploiting bilateral symmetry in brain lesion segmentation (Raina, Yahorau, Schmah)",2019,"arXiv:1907.08196",primary_paper,"Homologous contralateral patch as extra features improves Dice by 9-13 points",VERIFIED_ABSTRACT_2026-08-18,"CORRECTS attribution: critique cited this ID as Clerigues; field engineers the mirror in rather than testing for it"
idea-021,L16,"Acute ischemic stroke lesion core segmentation in CTP using FCNNs (Clerigues et al.)",2019,"DOI:10.1016/j.compbiomed.2019.103487",primary_paper,"Symmetric modality augmentation among contributions; ISLES 2018 top family, Dice 49%",VERIFIED_ABSTRACT_2026-08-18,"49% is absolute Dice, not an ablation delta for the symmetry component"
idea-021,L17,"Reducing False-Positives in CTP Infarct Core Segmentation Using Contralateral Local Normalization (Rau ... Kellner)",2024,"AJNR 45(3):277; PMCID:PMC11286109",primary_paper,"Clinical mirror normalization: voxelwise division by mirrored map, Gaussian sigma 12x12x4 mm, clip at 150%; 2830 CTP scans",VERIFIED_PMC_2026-08-18,"Precedent that arithmetic manipulation of finished perfusion maps is accepted practice; builds the reference in by construction"
idea-021,L18,"3D CNN stroke detection with hemispheric comparison channel (Oman et al.)",2019,"Eur Radiol Exp; PMCID:PMC6374492; PMID:30758694",primary_paper,"Adding flipped-registered contralateral CTA input channel raised specificity 0.40 to 0.81",VERIFIED_PMC_2026-08-18,"Closest work: train-time input ablation with retraining, not a post-hoc audit of a fixed model - that is the exact gap"
idea-021,L19,"CTP postprocessing variability (Fiorella et al.)",2004,"AJNR 25(1):97-107; PMID:14729537",primary_paper,"Coefficients of variation 31% CBV, 30% CBF, 14% MTT for same-source reprocessing",VERIFIED_ABSTRACT_2026-08-18,"Envelope anchor: +/-20% scaling sits inside documented measurement spread"
idea-021,L20,"CTP observer variability, absolute values vs ratios (Waaijer et al.)",2007,"AJNR 28(5):927-32; PMID:17494672",primary_paper,"Inter/intraobserver variability: absolute CBF 18%, CBV 16-17%; ratios 10-16%",VERIFIED_ABSTRACT_2026-08-18,"Second envelope anchor"
idea-021,L21,"Normal interhemispheric rCBF asymmetry (Catafau et al., SPECT)",1996,"Eur J Nucl Med 23(10):1329-37; PMID:8781137",primary_paper,"Interhemispheric asymmetry in healthy volunteers -1.01% to 3.14%",VERIFIED_ABSTRACT_2026-08-18,"SPECT not CTP; shows 10-20% asymmetry is pathological-range, so up-scaled arms rely on cohort (disease) support, not healthy norms"
idea-021,L22,"Hematocrit-CBF coupling (Muizelaar et al.)",1992,"Am J Physiol 262:H949-54; PMID:1566914",primary_paper,"Hct 60-120% of baseline varies CBF between 140% and 90% of baseline",VERIFIED_ABSTRACT_2026-08-18,"Animal data, flagged as such; supports physiologic producibility of large multiplicative CBF changes"
idea-021,L23,"Brain perfusion CT vs 15O-H2O PET in healthy subjects (Gruner et al.)",2011,"EJNMMI Res 1:28; PMCID:PMC3251173",primary_paper,"CTP overestimates CBF: GM 71.8±8.0 vs PET 48.7±5.0 mL/min/100g",VERIFIED_PMC_2026-08-18,"~1.5x modality-level scale bias: absolute map calibration slack exceeds proposed edit magnitudes"
idea-021,L24,"CTP/MR perfusion digital phantom accuracy assessment (Kudo et al.)",2013,"Radiology 267(1):201-211; PMID:23220899",primary_paper,"Digital phantoms with known truth values fed to 13 CT algorithms; CBV well reproduced, CBF/MTT variably",VERIFIED_ABSTRACT_2026-08-18,"Prior art for synthetic perfusion-value manipulation; source-level, not a model probe. Companion: Kudo 2010 (PMID:20032153) cross-software variability, numbers paywalled"
idea-021,L25,"Meaningful perturbation and occlusion interpretability precedents",2017,"arXiv:1704.03296 (Fong & Vedaldi); arXiv:1311.2901 (Zeiler & Fergus); PMCID:PMC11429733 (3D MRI occlusion)",primary_paper,"Edit-input-read-output interpretability is established, including 3D medical occlusion sweeps",VERIFIED_2026-08-18,"Mechanism-class precedent; destructive occlusion rather than in-distribution scaling"
idea-021,L26,"Counterfactual generative editing of medical images",2022,"arXiv:2207.12268 (Sanchez); arXiv:2102.09475 (Cohen, Gifsplanation); arXiv:1911.00483 (Singla)",primary_paper,"Probe-a-model-by-editing-inputs paradigm with generative realism in medical imaging",VERIFIED_ABSTRACTS_2026-08-18,"Realism-by-generation alternative if scaling edits fail the discriminator gate"
idea-021,L27,"Asymmetry Disentanglement Network for stroke NCCT (Ni et al.)",2022,"arXiv:2206.15445; MICCAI 2022",primary_paper,"Interpretable-by-design separation of pathological vs anatomical interhemispheric asymmetry",VERIFIED_ABSTRACT_2026-08-18,"Design-time symmetry, not a post-hoc audit; part of the novelty delta"
=======
idea-023,L1,"ISLES'24: Final Infarct Prediction with Multimodal Imaging and Clinical Data. Where Do We Stand?",2024,"arXiv:2408.10966",primary_paper,"150 train / 98 hidden test cases; icobrain cva perfusion maps; GT from follow-up DWI via DeepISLES with supervised correction; top Dice 0.285 (Kurtlab) / 0.263 (AMC-Axolotls) / 0.255 (Ninjas); rCBF<30% baseline Dice 0.163; top-3 team code links published",VERIFIED_HTML_INSPECTED_2026-08-18,"Itemized clinical-variable table (mTICI, treatment times) not in inspected HTML; resolve via clinical_data-description.xlsx at Stage 0; 150 vs Zenodo's 149 cases unresolved"
idea-023,L2,"ISLES'24 dataset paper (Radiology: Artificial Intelligence)",2025,"DOI:10.1148/ryai.250603",primary_paper,"icobrain cva version 1.5.0; cohort 100 Munich + 50 Zurich train, 100 test",PARTIALLY_VERIFIED_VIA_EXTERNAL_BRIEF_2026-08-17,"Quoted in operator-commissioned brief; not independently fetched this stage; test-set count 100 (brief) vs 98 (challenge paper) to reconcile at Stage 0"
idea-023,L3,"How We Won the ISLES'24 Challenge by Preprocessing (Riepe et al.)",2025,"arXiv:2505.18424; github.com/KurtLabUW/ISLES2024",primary_paper_and_official_repo,"Winner used SynthStrip skull-strip + custom intensity windowing + nnU-Net ResEnc L, patch [56,320,256], 10-fold CV, test Dice 28.5±21.27; repo distributes weights via Google Drive pointer file",VERIFIED_HTML_AND_REPO_INSPECTED_2026-08-18,"Exact input channels NOT stated in paper or repo README; must be read from released plans/preprocessing files at Stage 0; weights-link liveness unverified"
idea-023,L4,"Prediction of final infarct volume from native CT perfusion and treatment parameters using deep learning (Robben et al.)",2020,"PMID:31683091; arXiv:1812.02496",primary_paper,"Counterfactual probing precedent in the exact task family: final-infarct model probed by varying treatment metadata (time, recanalization)",VERIFIED_PUBMED_2026-08-18,"Perturbs metadata, not map values; anchors prior-art section 3a"
idea-023,L5,"Providing clinical context to the spatio-temporal analysis of 4D CT perfusion to predict acute ischemic stroke lesion outcomes (Amador et al.)",2024,"DOI:10.1016/j.jbi.2023.104567; ScienceDirect S1532046423002885",primary_paper,"Generates counterfactual outcome scenarios for clinical variables in stroke lesion-outcome prediction",VERIFIED_PUBLISHER_PAGE_2026-08-18,"Clinical-variable counterfactuals; nearest methodological relative per critique; DOI transcribed from publisher listing"
idea-023,L6,"Deep Structural Causal Models for Tractable Counterfactual Inference (Pawlowski, Castro, Glocker)",2020,"arXiv:2006.06485; github.com/biomedia-mira/deepscm",primary_paper,"Accepted precedent for counterfactual editing of brain MR images via do-interventions",VERIFIED_ARXIV_2026-08-18,"Generative counterfactuals; prior-art section 3b anchor"
idea-023,L7,"Diffusion Causal Models for Counterfactual Estimation (Sanchez, Tsaftaris)",2022,"arXiv:2202.10166; PMLR v177",primary_paper,"Diffusion-based counterfactual image estimation precedent",VERIFIED_ARXIV_2026-08-18,"Prior-art section 3b anchor; demonstrated on MNIST/ImageNet with neuroimaging follow-ups in the same line"
idea-023,L8,"Reducing False-Positives in CT Perfusion Infarct Core Segmentation Using Contralateral Local Normalization (Kellner et al.)",2024,"AJNR 45(3):277",primary_paper,"Voxelwise arithmetic manipulation of clinical perfusion maps (mirrored division, clipping, smoothing) is accepted clinical-methods practice",PARTIALLY_VERIFIED_VIA_EXTERNAL_BRIEF_2026-08-17,"Quoted in operator-commissioned brief; not independently fetched this stage; prior-art section 3c anchor"
idea-023,L9,"Spatio-Temporal Deep Learning for Final Infarct Prediction using Acute Stroke CT Perfusion Data (Amador et al., ISLES'24 entry)",2024,"github.com/kimberly-amador/ISLES24-PrediCTP; Springer 10.1007/978-3-031-81101-2_9",primary_paper_and_official_repo,"4D-CTP-input challenge entry; Dice 0.20; no released weights; no map-input port of entry for the proposed edits",VERIFIED_REPO_INSPECTED_2026-08-18,"Excluded as probe target for structural reasons, not availability alone"
idea-023,L10,"nnU-Net residual encoder presets (MIC-DKFZ documentation)",2024,"github.com/MIC-DKFZ/nnUNet documentation/resenc_presets.md",official_repo,"ResEnc M 9-11GB VRAM ~12h/fold A100; ResEnc L 24GB ~35h; ResEnc XL 40GB ~66h",VERIFIED_DOC_INSPECTED_2026-08-18,"Basis of the compute estimate; ResEnc M recommended as Colab-feasible frozen recipe"
>>>>>>> 1f04124 (idea 023: feasibility done)
