volume_name,pair_id,role,kernel_normalized,kernel_raw,sha256,size_bytes,chunk,session_id
valid_1082_a_1.nii.gz,p019,softer,Br40f,"['Br40f', '3']",8c198e1e95f48394846fdba13414a719e3688b5bc7c0a7afd013db0f02cf72f8,142717016,chunk_01,20260815T180544Z-f80be290
valid_1082_a_2.nii.gz,p019,sharper,Br60f,"['Br60f', '3']",29ebf73dbb3b9840ca1b6ed6c5009ac05080b0f97c1345c05f3f96472aeae44b,162410072,chunk_01,20260815T180544Z-f80be290
valid_1088_a_1.nii.gz,p020,softer,Br40f,"['Br40f', '3']",c95f5e8325e41abff4e13ac57d870316dcc17f029694e9b9e9437097cf9f67be,156111153,chunk_01,20260815T180544Z-f80be290
valid_1088_a_2.nii.gz,p020,sharper,Br60f,"['Br60f', '3']",c1e279aad7888665cdace7eac6977b80dcef55193ff7a9ae3e25a953287f3bde,177847750,chunk_01,20260815T180544Z-f80be290
valid_1091_a_1.nii.gz,p021,softer,Br40f,"['Br40f', '3']",a4b8ca5d86ff0472b93d97a641f8daa7969179f2022278ed904297ec49653e50,174068042,chunk_01,20260815T180544Z-f80be290
valid_1091_a_2.nii.gz,p021,sharper,Br60f,"['Br60f', '3']",d9abc50310c4c1a83b8796632093048718866f37b41b41234b18cab718e7f4cb,197921350,chunk_01,20260815T180544Z-f80be290
valid_1094_a_1.nii.gz,p022,softer,Br40f,"['Br40f', '3']",7c5a5c4735ab2f9326c23809184f265ad3cd4351577da027945e79a914a5a215,154387136,chunk_01,20260815T180544Z-f80be290
valid_1094_a_2.nii.gz,p022,sharper,Br60f,"['Br60f', '3']",43355b509f2064db6cfa432881cd8e2237e1b4f39c896bbf154109b7dfc4d4cc,173369559,chunk_01,20260815T180544Z-f80be290
valid_1097_b_1.nii.gz,p023,softer,Br40f,"['Br40f', '3']",859bcc6d1e2f75c5db185651d32f85d304251c8026824a85204bad995083496f,138445634,chunk_01,20260815T180544Z-f80be290
valid_1097_b_2.nii.gz,p023,sharper,Br60f,"['Br60f', '3']",c0958b966797310d8a6d3c2c67bd8a42998fd395f379c7e55f09e13f78dc57fc,156372977,chunk_01,20260815T180544Z-f80be290
valid_1100_a_1.nii.gz,p024,softer,Br40f,"['Br40f', '3']",db889b5cae5dbb657e6c7b5d2957152f2f1cbe8ce99c67029ed764292c094af3,178128651,chunk_01,20260815T180544Z-f80be290
valid_1100_a_2.nii.gz,p024,sharper,Br60f,"['Br60f', '3']",75be6a1d913063c9f795c19151a97fb0de5a6779e5150dae65e684306238d3bb,203150136,chunk_01,20260815T180544Z-f80be290
valid_1119_a_1.nii.gz,p025,softer,Br40f,"['Br40f', '3']",a0e3265eda65fd905c11ad569fbea706780c1174a1c7127e1f4f55ca35f4fb4a,144404149,chunk_01,20260815T180544Z-f80be290
valid_1119_a_2.nii.gz,p025,sharper,Br60f,"['Br60f', '3']",4af080d9a015496de0e4473cfc10d944b2c5f1e62a5e2048bcaa41348aa1899d,164500987,chunk_01,20260815T180544Z-f80be290
valid_1121_a_1.nii.gz,p026,softer,Br40f,"['Br40f', '3']",60ce4439c20e2eac632f3c64bac6e90eb19af8b6c7c18aaf7c27d19a2eb92595,141633212,chunk_02,20260815T180544Z-f80be290
valid_1121_a_2.nii.gz,p026,sharper,Br60f,"['Br60f', '3']",53dc90dacc425bf418c1123bea0129c93cdd293ca2e4575c606bb258a73c7786,161891953,chunk_02,20260815T180544Z-f80be290
valid_1123_a_1.nii.gz,p027,softer,Br40f,"['Br40f', '3']",00da011f21c9e739943fc5343e13274b5cb083587c52c53948c86d02643ff0d4,142382899,chunk_02,20260815T180544Z-f80be290
valid_1123_a_2.nii.gz,p027,sharper,Br60f,"['Br60f', '3']",2534c04ea2e94bb96dec43c152702343712231ecf206827a2220ae72094916f6,160910582,chunk_02,20260815T180544Z-f80be290
valid_1124_a_1.nii.gz,p028,softer,Br40f,"['Br40f', '3']",f1312567b0e7f850fc310de784fac057caa4f53f7c78a7c4c7bdf460a10c5144,189612974,chunk_02,20260815T180544Z-f80be290
valid_1124_a_2.nii.gz,p028,sharper,Br60f,"['Br60f', '3']",08128297cfdc17c2f5954be1b7445bc76d6380aa4496e6bb47e12b811444f4ee,214306432,chunk_02,20260815T180544Z-f80be290
valid_1131_b_1.nii.gz,p029,softer,Br40f,"['Br40f', '3']",473f6936860eeaa1cac1d763dafa35ae7cd6b018fc00be0bb909a23c65f6bebf,141565704,chunk_02,20260815T180544Z-f80be290
valid_1131_b_2.nii.gz,p029,sharper,Br60f,"['Br60f', '3']",b133e29fe7c2816979cd84d8c638d9b87409099efffaa2e40c39508cd8b8a949,159886549,chunk_02,20260815T180544Z-f80be290
valid_1132_a_1.nii.gz,p030,softer,Br40f,"['Br40f', '3']",539accf343abeea4d8c35c8a4e6d9f7a83a4bf7d1cb1ff357be7574f23f7720f,170130521,chunk_02,20260815T180544Z-f80be290
valid_1132_a_2.nii.gz,p030,sharper,Br60f,"['Br60f', '3']",ae9031b60b99f445cba239077492ee7b995c73378a6d61e244f16d2789bb810d,193364037,chunk_02,20260815T180544Z-f80be290
valid_1140_a_1.nii.gz,p031,softer,Br40f,"['Br40f', '3']",b1b89f2583185615732cc3926d9a5226f75afe8d9426c60e137b93d1137de730,146055855,chunk_02,20260815T180544Z-f80be290
valid_1140_a_2.nii.gz,p031,sharper,Br60f,"['Br60f', '3']",39ca3c95755e23b4ffa1fc8bfc305a5f82739c4b63b6d36418f493a968969813,163323269,chunk_02,20260815T180544Z-f80be290
valid_1145_a_1.nii.gz,p032,softer,Br40f,"['Br40f', '3']",9579b84eb281d32ee6f30f2d2dcafc18d31ffcd7f868d0977f2e6a974403ec37,148957734,chunk_02,20260815T180544Z-f80be290
valid_1145_a_2.nii.gz,p032,sharper,Br60f,"['Br60f', '3']",06e5a909830fe0ddb68e60a93b93827eaa2cb973080e0d7316fddb8841e7a466,169660172,chunk_02,20260815T180544Z-f80be290
valid_1148_a_1.nii.gz,p033,softer,Br40f,"['Br40f', '3']",c6d6c7cdbbf6be49d39364a28e100e1a5df32c4d780d3c502d834774a363a983,165068452,chunk_02,20260815T180544Z-f80be290
valid_1148_a_2.nii.gz,p033,sharper,Br60f,"['Br60f', '3']",b4d12878623c1327925a5ed9d1d573e77360fcc9b1112571baa37c1074f58306,187072303,chunk_02,20260815T180544Z-f80be290
valid_1151_a_1.nii.gz,p034,softer,Br40f,"['Br40f', '3']",8231a724d22719e761eb26719040deb3f3accc27d5e4789f5510a68e1cff8d43,126951814,chunk_02,20260815T180544Z-f80be290
valid_1151_a_2.nii.gz,p034,sharper,Br60f,"['Br60f', '3']",0132560d251c50d8c055bc6fbf93e5b6d30d5eb027e6bc640c998e30032d5bd0,144660686,chunk_02,20260815T180544Z-f80be290
valid_1165_a_1.nii.gz,p035,softer,Br40f,"['Br40f', '3']",4b091a3907dcac9a8a03e30ce2bd63e49d536ef903acffe1c765fe768cb8c651,150221987,chunk_02,20260815T180544Z-f80be290
valid_1165_a_2.nii.gz,p035,sharper,Br60f,"['Br60f', '3']",249edcf1b92e7143098f5c6e6c6abe549a50329c4b719ebe54a9ad319d020b66,171787964,chunk_02,20260815T180544Z-f80be290
valid_1167_a_1.nii.gz,p036,softer,Br40f,"['Br40f', '3']",5d759ec0649d418e80c6c99d86679cc2ddef086717206a6e12007260221c395f,161652351,chunk_02,20260815T180544Z-f80be290
valid_1167_a_2.nii.gz,p036,sharper,Br60f,"['Br60f', '3']",e12e5a2eb7592d0e0514109d38d6939f9d276f814e4906e20f7debaa86ff1e18,184156815,chunk_02,20260815T180544Z-f80be290
valid_1169_a_1.nii.gz,p037,softer,Br40f,"['Br40f', '3']",ae065b513abf0190eb6b2118547cc80d708613a48053a974cb7e3b6c8090e93c,119730252,chunk_02,20260815T180544Z-f80be290
valid_1169_a_2.nii.gz,p037,sharper,Br60f,"['Br60f', '3']",8ab81b0a52c22e4be56fe791ec34f896bb1c0e7a90b4660a875000462e55291d,136916635,chunk_02,20260815T180544Z-f80be290
valid_1170_c_1.nii.gz,p038,softer,Br40f,"['Br40f', '3']",fdd51e391957326160262bd8c65cef38436ffc0b325869f00f73c772066166a8,122503089,chunk_02,20260815T180544Z-f80be290
valid_1170_c_2.nii.gz,p038,sharper,Br60f,"['Br60f', '3']",9791d9a14a120fce9d729e4e10c1a994ee9f4b14bbc735f0226113d7fe6dc49f,137503161,chunk_02,20260815T180544Z-f80be290
valid_1174_a_1.nii.gz,p039,softer,Br40f,"['Br40f', '3']",632f370abefc0e8ea6cf42ba2906ed0d85e7e15ef8576941840327d9cd1f42f6,161008567,chunk_02,20260815T180544Z-f80be290
valid_1174_a_2.nii.gz,p039,sharper,Br60f,"['Br60f', '3']",a62e26e12d8e71a7829c1dbe522fd11d702f220eb98c314a109444da404fd19a,181885146,chunk_02,20260815T180544Z-f80be290
valid_1178_a_1.nii.gz,p040,softer,Br40f,"['Br40f', '3']",761a3d367e859ac549a28cd687a4e05a41e89445c08b2f18f795b79ce8acf68f,137088133,chunk_02,20260815T180544Z-f80be290
valid_1178_a_2.nii.gz,p040,sharper,Br60f,"['Br60f', '3']",9eb4f3fa1102e81373b8ab7c79e01e0ac7442cff4dc7566a767c24ed9c77a707,155896992,chunk_02,20260815T180544Z-f80be290
valid_1192_a_1.nii.gz,p041,softer,Br40f,"['Br40f', '3']",2fd08e74de26ae6f50a886acfd636feaaa776dba8765868c0f2af691f085d027,145287513,chunk_02,20260815T180544Z-f80be290
valid_1192_a_2.nii.gz,p041,sharper,Br60f,"['Br60f', '3']",57718245c060bbd01bae9808797d0c4303c99b41db8718f58cf663e391b6a233,165962922,chunk_02,20260815T180544Z-f80be290
valid_1192_b_1.nii.gz,p042,softer,Br40f,"['Br40f', '3']",30757ea49a606b322446dba50c76bfabbba04abbdd68c84e2cc8c452b2d6f335,101153661,chunk_02,20260815T180544Z-f80be290
valid_1192_b_2.nii.gz,p042,sharper,Br60f,"['Br60f', '3']",fd45e5847b31f575606505fd91f0476bd595090e0d0305a90ce2cea6df900133,116383118,chunk_02,20260815T180544Z-f80be290
valid_1196_a_1.nii.gz,p043,softer,Br40f,"['Br40f', '3']",d46e9f20089d66f39dbbd860d91f5c65934b970576ea36cbe61d48b3d2bbed63,148309559,chunk_02,20260815T180544Z-f80be290
valid_1196_a_2.nii.gz,p043,sharper,Br60f,"['Br60f', '3']",fb43465e447f45c2c2310c05c13696378ecb16bf76643a43f889beffb7b8c4cc,168446989,chunk_02,20260815T180544Z-f80be290
valid_120_a_1.nii.gz,p044,softer,Br40f,"['Br40f', '3']",a9ae8153758979b2f08e17e524f493948d7887ec7d2f7055271a517c620c8b16,159014181,chunk_02,20260815T180544Z-f80be290
valid_120_a_2.nii.gz,p044,sharper,Br60f,"['Br60f', '3']",7bcb5096c7fb3042ee293d8e7430fd35d5c5255abe7c100ec5f45fa4dd68401c,179386988,chunk_02,20260815T180544Z-f80be290
valid_1213_a_1.nii.gz,p045,softer,Br40f,"['Br40f', '3']",9353f4e3619c02dd0e0f8ce285adef70283c37298dbcac213d3d957ed4a84f2b,147188222,chunk_02,20260815T180544Z-f80be290
valid_1213_a_2.nii.gz,p045,sharper,Br60f,"['Br60f', '3']",8372e77d76d31888cdfa03c1aa51c3d5c4f9eb092c346d607cbb87bdb281323c,167718835,chunk_02,20260815T180544Z-f80be290
valid_1221_a_1.nii.gz,p046,softer,Br40f,"['Br40f', '3']",326b892b9d619fd5ff0a455cd69884f604bf8ddac76b3b53f47b7ede29ee6fe2,138346961,chunk_02,20260815T180544Z-f80be290
valid_1221_a_2.nii.gz,p046,sharper,Br60f,"['Br60f', '3']",90d31c55ae0829887b4a38dd1b7c4f41820581952180582ccd5d73663f51f6f5,157782972,chunk_02,20260815T180544Z-f80be290
valid_1229_a_1.nii.gz,p047,softer,Br40f,"['Br40f', '3']",bde49acbcb6a83cf6677ca1e4c25ab3edd653a6a3c4f07d3f0ea14170ae96e7e,168431561,chunk_02,20260815T180544Z-f80be290
valid_1229_a_2.nii.gz,p047,sharper,Br60f,"['Br60f', '3']",8a57d95c6a2ceda5a2ed5c86288853272da499e8ae4ddc31f688c5078d0846fd,190522262,chunk_02,20260815T180544Z-f80be290
valid_122_a_1.nii.gz,p048,softer,Br40f,"['Br40f', '3']",ceb277f1430cf3498e99e7cb129d409b44d9f2f3e96dd85678c216c6a3eef942,156867415,chunk_02,20260815T180544Z-f80be290
valid_122_a_2.nii.gz,p048,sharper,Br60f,"['Br60f', '3']",b7225cb05355e4314bed6e7918a4c23d4ca0a941ce1ec8bb6ce1876e9e794f5c,178527470,chunk_02,20260815T180544Z-f80be290
valid_1250_a_1.nii.gz,p049,softer,Br40f,"['Br40f', '3']",549efdd02e09ce55498f642f509c4470793dc035541e207733a1644e745a85ff,186352351,chunk_02,20260815T180544Z-f80be290
valid_1250_a_2.nii.gz,p049,sharper,Br60f,"['Br60f', '3']",fa5cb7ad8e63a7c2330aacb396aedf6212ff13fa148cb33cfee87cc4f860bd36,211900930,chunk_02,20260815T180544Z-f80be290
valid_1250_b_1.nii.gz,p050,softer,Br40f,"['Br40f', '3']",2f4763df03fdde2bc2e3d6e3c7820e783a7d1fd639143e4251a848a0fa185341,192481937,chunk_02,20260815T180544Z-f80be290
valid_1250_b_2.nii.gz,p050,sharper,Br60f,"['Br60f', '3']",bfff78ac754441836cf9f15c23425f9d721463c678d3c582ad59b4b30ff412a6,217772269,chunk_02,20260815T180544Z-f80be290
valid_1253_a_1.nii.gz,p051,softer,Br40f,"['Br40f', '3']",1c8eae77e05b847c231fbe9e6cb30d041e2d97d40e8bbaf6ece9adf7f1826b5b,150993504,chunk_03,20260815T180544Z-f80be290
valid_1253_a_2.nii.gz,p051,sharper,Br60f,"['Br60f', '3']",1c0b3b547c6bd79fba509248ae8f62cd1744b953cf3280c413194d90c6b77eae,169672013,chunk_03,20260815T180544Z-f80be290
valid_1256_a_1.nii.gz,p052,softer,Br40f,"['Br40f', '3']",ac40714c943fb70d5676a826a3a59ab6ffa2247f07000a4717f0e772e859cba2,147542973,chunk_03,20260815T180544Z-f80be290
valid_1256_a_2.nii.gz,p052,sharper,Br60f,"['Br60f', '3']",17330fff513c5a7edd7c3a6c9f990ad3f1cf25dd0699cb47fa1c5e384f483251,166867786,chunk_03,20260815T180544Z-f80be290
valid_1259_a_1.nii.gz,p053,softer,Br40f,"['Br40f', '3']",64c63eb241efa3c0ed5c163b84d0bf33433898393c3cc477b439c0c8b357be79,190136965,chunk_03,20260815T180544Z-f80be290
valid_1259_a_2.nii.gz,p053,sharper,Br60f,"['Br60f', '3']",41170d7d8350e5950528593e45ee21ffe6143196a601c4f035fdf00e3b4eb76a,217773673,chunk_03,20260815T180544Z-f80be290
valid_125_a_1.nii.gz,p054,softer,Br40f,"['Br40f', '3']",617d3b586768c57dc1ddccfcf0a70b868b941d11e6f3760a025d33e6eef3d4ef,161928991,chunk_03,20260815T180544Z-f80be290
valid_125_a_2.nii.gz,p054,sharper,Br60f,"['Br60f', '3']",21965a8cc959328a315dce7222a07c28203a7acb9021759dfd9d04c94fd3c672,182708369,chunk_03,20260815T180544Z-f80be290
valid_1272_a_1.nii.gz,p055,softer,Br40f,"['Br40f', '3']",4c80a6d3d107f9585bbec76744de7996a4a850179a4907da316755d92d7679f4,161761407,chunk_03,20260815T180544Z-f80be290
valid_1272_a_2.nii.gz,p055,sharper,Br60f,"['Br60f', '3']",7ddb572d27518e760e68fffd687af697b5a155dfa360c12fddf1d547bbf20bdf,184567258,chunk_03,20260815T180544Z-f80be290
valid_1273_a_1.nii.gz,p056,softer,Br40f,"['Br40f', '3']",57d88277070c573f17f6a07e25b6b4db15ed4118209311a215c27af8b0d2c15d,140710104,chunk_03,20260815T180544Z-f80be290
valid_1273_a_2.nii.gz,p056,sharper,Br60f,"['Br60f', '3']",8db789f2a83cc964d098951e96d79079c12c39f6b20c33bdfecd752d7268ba01,160923791,chunk_03,20260815T180544Z-f80be290
valid_1281_a_1.nii.gz,p057,softer,Br40f,"['Br40f', '3']",b33defb4fa2fb118404008fbc255ab6710f4a801f299c2d46e9e15368ad9ebd2,131401728,chunk_03,20260815T180544Z-f80be290
valid_1281_a_2.nii.gz,p057,sharper,Br60f,"['Br60f', '3']",f919cee81b3aefe34a4885fb373e9a978aebc6061435287d75937429fc822029,148826398,chunk_03,20260815T180544Z-f80be290
valid_1292_a_1.nii.gz,p058,softer,Br40f,"['Br40f', '3']",8a06df5902bdff1bf8be476fddaf0c20bd5853913b01f3ae095aae7e94e910b8,122178065,chunk_03,20260815T180544Z-f80be290
valid_1292_a_2.nii.gz,p058,sharper,Br60f,"['Br60f', '3']",c5f41a903a4659e701078f60daaf47180f901b73147e4f0838d8922a25fde18d,140723641,chunk_03,20260815T180544Z-f80be290
valid_1294_a_1.nii.gz,p059,softer,Br40f,"['Br40f', '3']",fb2872059ec8f34e1a58c3abf8dd1842ad600a3a8d94717d6c3233a0fef05de7,133204225,chunk_03,20260815T180544Z-f80be290
valid_1294_a_2.nii.gz,p059,sharper,Br60f,"['Br60f', '3']",185aff0c31da46892f6073ab1c88d285301675afd660a452a5b90318fb66915c,149886497,chunk_03,20260815T180544Z-f80be290
valid_12_a_1.nii.gz,p060,softer,Br40f,"['Br40f', '3']",68d12b894a17f52ec810bd8b2706fc594cca9efbb8f942e9a42bec748e031244,165564045,chunk_03,20260815T180544Z-f80be290
valid_12_a_2.nii.gz,p060,sharper,Br60f,"['Br60f', '3']",c462f497ffb4ff6f32de374abee92d4a82301ae0c42a5a55d5c8cb88b27936c3,186018181,chunk_03,20260815T180544Z-f80be290
valid_133_a_1.nii.gz,p061,softer,Br40f,"['Br40f', '3']",edd3aa752c24c05c2c09ec0099d231be353ddb6e830f3b07606af4bbab659d8e,165446823,chunk_03,20260815T180544Z-f80be290
valid_133_a_2.nii.gz,p061,sharper,Br60f,"['Br60f', '3']",099f05a5c0d769227821faf8f59e404a6421fb2e979bc64c9c1221995706440f,190113432,chunk_03,20260815T180544Z-f80be290
valid_135_a_1.nii.gz,p062,softer,Br40f,"['Br40f', '3']",a3c55516be9ad7b2dea5e5bcb5fb655b9747a075e17982cee5c7f4df9647cf59,154263439,chunk_03,20260815T180544Z-f80be290
valid_135_a_2.nii.gz,p062,sharper,Br60f,"['Br60f', '3']",de37a89930bdfcb6549c909a3365f00f9f21c72865514048366e126bfa8d4a48,176127471,chunk_03,20260815T180544Z-f80be290
valid_138_a_1.nii.gz,p063,softer,Br40f,"['Br40f', '3']",bbb8f6cd654547bdbf2120a7710bc0e3d7e1f1263cba578de35de73d1820f39a,118011832,chunk_03,20260815T180544Z-f80be290
valid_138_a_2.nii.gz,p063,sharper,Br60f,"['Br60f', '3']",d8bae31f1b04581cc041f62b32134c80c67a06dfe19df8c33c97e68ba7466333,136052271,chunk_03,20260815T180544Z-f80be290
valid_13_a_1.nii.gz,p064,softer,Br40f,"['Br40f', '3']",4d2ea1ecf84cb409d396c79dd8eca215f90d3fdd1c65e8e60739258ed9932ade,168891898,chunk_03,20260815T180544Z-f80be290
valid_13_a_2.nii.gz,p064,sharper,Br60f,"['Br60f', '3']",cfae3b06035f01317870775112073a8793e26131bbdbe98593041862109dbb6e,195993652,chunk_03,20260815T180544Z-f80be290
valid_166_a_1.nii.gz,p065,softer,Br40f,"['Br40f', '3']",6f9fe87ec6e00315638bf6e62d16619eeb1a11535a3d79eef523f3970037ad28,125338320,chunk_03,20260815T180544Z-f80be290
valid_166_a_2.nii.gz,p065,sharper,Br60f,"['Br60f', '3']",2a9b3da283110d4c23dba9cedabb607835c6ca106f4cda4e53812774527aae6e,143986175,chunk_03,20260815T180544Z-f80be290
valid_167_a_1.nii.gz,p066,softer,Br40f,"['Br40f', '3']",3b63d8d249e0f8b918489f0cda7296a59bfb9a340a87b336f44529663568e548,163161687,chunk_03,20260815T180544Z-f80be290
valid_167_a_2.nii.gz,p066,sharper,Br60f,"['Br60f', '3']",f1f1a7b8d3ba388dffc381d389dc52fc3f1c759a652dc78b720526470540d848,183792248,chunk_03,20260815T180544Z-f80be290
